Sex,Age,Year,Month,Day,Street_Number,Birthday,Surname,City,Street,State_Voted,State,Name
Male,81,1939,6,16,64,1939-6-16,Cline,Pomona,Oak,California,California,Vincent
Female,20,2000,4,5,100,2000-4-5,Hodges,Moreno Valley,Park,California,California,Emma
Male,69,1951,5,29,90,1951-5-29,Hudson,Gilbert,Fifth,Arizona,Arizona,Jose
Female,66,1954,1,18,11,1954-1-18,Roth,Hialeah,Maple,Florida,Florida,Kelly
Male,45,1975,12,20,55,1975-12-20,Foley,Milwaukee,Oak,Wisconsin,Wisconsin,Michael
Female,31,1989,7,16,61,1989-7-16,Moore,San Juan,Lake,Puerto Rico,Puerto Rico,Susan
Female,20,2000,3,9,1,2000-3-9,Key,Corona,Pine,California,California,Julie
Male,35,1985,3,20,53,1985-3-20,Robles,Riverside,Hill,California,California,Raymond
Female,85,1935,2,10,44,1935-2-10,James,Minneapolis,Sixth,Minnesota,Minnesota,Betty
Male,29,1991,5,2,70,1991-5-2,Carr,Cary,Lake,North Carolina,North Carolina,Gabriel
Male,33,1987,1,2,51,1987-1-2,Hines,Miramar,Lake,Florida,Florida,Scott
Male,35,1985,2,25,32,1985-2-25,Alvarado,Macon County,Maple,Georgia,Georgia,Terry
Male,47,1973,3,27,54,1973-3-27,Olson,Grand Rapids,Fifth,Michigan,Michigan,Adam
Male,28,1992,5,12,17,1992-5-12,Lara,Dallas,Sixth,Texas,Texas,Douglas
Male,59,1961,10,8,23,1961-10-8,Petty,San Juan,Fourth,Puerto Rico,Puerto Rico,Anthony
Male,82,1938,10,21,50,1938-10-21,Nichols,Raleigh,View,North Carolina,North Carolina,Jacob
Female,52,1968,3,4,89,1968-3-4,Sanford,Cary,Fourth,North Carolina,North Carolina,Elizabeth
Male,45,1975,12,13,32,1975-12-13,Mcintosh,Overland Park,Oak,Kansas,Kansas,Russell
Female,24,1996,6,4,6,1996-6-4,Gardner,Austin,Lake,Texas,Texas,Karen
Female,27,1993,12,1,66,1993-12-1,Hopkins,Tulsa,Ninth,Oklahoma,Oklahoma,Amanda
Male,60,1960,9,29,27,1960-9-29,Whitney,Clarksville,Park,Tennessee,Tennessee,Donald
Male,82,1938,12,15,17,1938-12-15,Lynn,Shreveport,Third,Louisiana,Louisiana,Kenneth
Male,70,1950,1,19,94,1950-1-19,Manning,Huntington Beach,Lake,West Virginia,California,Ryan
Male,74,1946,9,7,74,1946-9-7,Johnston,Houston,Main,Texas,Texas,Eugene
Male,57,1963,6,17,15,1963-6-17,Henderson,Salem,Elm,Oregon,Oregon,Peter
Female,73,1947,1,26,40,1947-1-26,Contreras,Washington,Second,District of Columbia,District of Columbia,Virginia
Female,81,1939,12,9,16,1939-12-9,Hodges,Chattanooga,First,Tennessee,Tennessee,Sarah
Female,40,1980,2,1,45,1980-2-1,Norman,Cary,Second,North Carolina,North Carolina,Stephanie
Female,18,2002,11,7,91,2002-11-7,Mcmillan,Irvine,Elm,California,California,Julie
Male,41,1979,2,4,23,1979-2-4,Boyle,Worcester,Sixth,Massachusetts,Massachusetts,Douglas
Male,71,1949,3,2,22,1949-3-2,Jackson,Long Beach,Third,California,California,Brian
Female,39,1981,3,30,68,1981-3-30,Owen,Little Rock,Fourth,Arkansas,Arkansas,Susan
Male,60,1960,7,27,52,1960-7-27,Fleming,Metairie,Fourth,Louisiana,Louisiana,Willie
Male,35,1985,12,15,78,1985-12-15,Rollins,Oklahoma City,Seventh,Oklahoma,Oklahoma,Eric
Male,44,1976,7,23,17,1976-7-23,Dunn,Little Rock,Elm,Arkansas,Arkansas,Logan
Male,66,1954,10,2,85,1954-10-2,Rivers,Miramar,Ninth,Florida,Florida,Paul
Female,27,1993,7,27,1,1993-7-27,Austin,Glendale,First,Texas,Arizona,Madison
Female,56,1964,11,15,94,1964-11-15,Ellison,Virginia Beach,Eighth,Virginia,Virginia,Martha
Female,51,1969,6,21,9,1969-6-21,Mcdowell,Miami,Oak,Florida,Florida,Lisa
Female,50,1970,2,2,78,1970-2-2,Patterson,Jackson,Park,Mississippi,Mississippi,Amy
Female,45,1975,8,3,72,1975-8-3,Gross,Mobile,Fourth,Alabama,Alabama,Denise
Female,64,1956,6,27,86,1956-6-27,Valdez,Tempe,Cedar,Arizona,Arizona,Sarah
Female,66,1954,12,13,59,1954-12-13,George,Pittsburgh,Park,Pennsylvania,Pennsylvania,Teresa
Female,30,1990,8,17,93,1990-8-17,Boone,Kansas City,First,Missouri,Missouri,Amber
Female,53,1967,3,6,82,1967-3-6,Glover,Toledo,Cedar,Ohio,Ohio,Anna
Female,82,1938,2,28,78,1938-2-28,Waller,Chula Vista,View,California,California,Sophia
Male,31,1989,4,20,44,1989-4-20,Bolton,St. Paul,View,Minnesota,Minnesota,Jack
Female,35,1985,5,6,30,1985-5-6,Goff,San Antonio,Ninth,Texas,Texas,Alexis
Male,18,2002,12,3,31,2002-12-3,Parker,Milwaukee,Third,Wisconsin,Wisconsin,Joseph
Male,81,1939,1,13,92,1939-1-13,Mcbride,Kansas City,Park,Missouri,Missouri,Louis
Female,88,1932,11,30,9,1932-11-30,Guzman,Houston,Maple,Texas,Texas,Maria
Male,73,1947,3,17,41,1947-3-17,Drake,Paterson,Elm,New Jersey,New Jersey,Jacob
Female,18,2002,10,24,60,2002-10-24,Gill,Savannah,View,Georgia,Georgia,Grace
Male,61,1959,2,27,34,1959-2-27,Peck,Amarillo,Seventh,Texas,Texas,Terry
Male,27,1993,3,10,79,1993-3-10,Burns,Oakland,First,California,California,Kenneth
Female,19,2001,3,20,14,2001-3-20,Franklin,Madison,Second,Wisconsin,Wisconsin,Donna
Female,57,1963,12,11,40,1963-12-11,Conley,Tallahassee,Third,Florida,Florida,Cheryl
Male,28,1992,12,28,94,1992-12-28,Short,Wichita,Washington,Kansas,Kansas,Joshua
Female,25,1995,11,29,40,1995-11-29,Phelps,San Jose,Seventh,California,California,Elizabeth
Male,25,1995,3,2,26,1995-3-2,Ross,Murfreesboro,Cedar,Tennessee,Tennessee,Daniel
Male,56,1964,6,10,69,1964-6-10,Keller,Raleigh,Second,North Carolina,North Carolina,Jerry
Male,34,1986,5,6,27,1986-5-6,Erickson,Mesa,Elm,Arizona,Arizona,Willie
Male,40,1980,6,28,76,1980-6-28,Beck,Lincoln,Washington,Nebraska,Nebraska,Steven
Female,67,1953,11,8,87,1953-11-8,Moody,Tacoma,Park,Washington,Washington,Victoria
Male,67,1953,8,25,8,1953-8-25,Gilliam,Colorado Springs,Third,Colorado,Colorado,Vincent
Male,38,1982,4,29,9,1982-4-29,Medina,Salinas,Eighth,California,California,Daniel
Male,79,1941,4,26,84,1941-4-26,Fields,San Diego,Elm,California,California,Mark
Male,73,1947,11,19,59,1947-11-19,Kinney,Orlando,Maple,Florida,Florida,Jeffrey
Male,83,1937,4,30,21,1937-4-30,Pacheco,Fort Lauderdale,Lake,Florida,Florida,Peter
Female,85,1935,2,20,5,1935-2-20,Hayden,Miami,Fifth,Florida,Florida,Shirley
Female,32,1988,6,4,69,1988-6-4,Holman,Huntsville,Ninth,Alabama,Alabama,Samantha
Female,58,1962,6,26,94,1962-6-26,Fitzgerald,Columbus,First,Nevada,Ohio,Hannah
Male,37,1983,8,8,54,1983-8-8,Wilkinson,Fresno,First,California,California,Zachary
Female,64,1956,11,9,27,1956-11-9,Miller,Fort Worth,Sixth,Texas,Texas,Danielle
Female,42,1978,4,26,80,1978-4-26,Callahan,Denton,Pine,Texas,Texas,Marilyn
Male,90,1930,1,22,21,1930-1-22,Wallace,McKinney,Sixth,Texas,Texas,Timothy
Male,29,1991,2,26,83,1991-2-26,Grant,Knoxville,Cedar,Tennessee,Tennessee,Justin
Male,42,1978,12,31,34,1978-12-31,Johnston,Santa Rosa,Third,California,California,Austin
Male,70,1950,8,29,5,1950-8-29,Daugherty,Albuquerque,First,New Mexico,New Mexico,Jordan
Female,80,1940,12,6,27,1940-12-6,Santos,St. Louis,Fourth,Missouri,Missouri,Anna
Male,46,1974,7,22,27,1974-7-22,Foreman,Sunnyvale,Eighth,California,California,Johnny
Female,55,1965,8,3,41,1965-8-3,Wall,Lexington,Sixth,Kentucky,Kentucky,Maria
Male,83,1937,1,19,96,1937-1-19,Richard,Indianapolis,Pine,Indiana,Indiana,Jerry
Female,27,1993,1,25,55,1993-1-25,Head,Shreveport,Washington,Louisiana,Louisiana,Katherine
Female,35,1985,10,27,65,1985-10-27,Robinson,Bakersfield,Main,California,California,Ruth
Male,45,1975,7,28,100,1975-7-28,Barlow,Detroit,First,Michigan,Michigan,Willie
Female,51,1969,4,10,26,1969-4-10,Prince,Sacramento,Park,California,California,Cheryl
Male,87,1933,12,25,57,1933-12-25,Fox,Charlotte,Maple,North Carolina,North Carolina,Jeffrey
Male,36,1984,7,25,61,1984-7-25,Cochran,San Juan,View,Puerto Rico,Puerto Rico,Timothy
Female,86,1934,9,14,78,1934-9-14,Love,Peoria,Ninth,Arizona,Arizona,Gloria
Female,62,1958,9,19,85,1958-9-19,Vang,Roseville,Lake,California,California,Cheryl
Male,23,1997,10,5,33,1997-10-5,Murphy,New York City,Oak,New York,New York,Anthony
Male,38,1982,9,18,83,1982-9-18,Stanley,Elk Grove,Park,California,California,Samuel
Male,81,1939,3,9,52,1939-3-9,Russo,Santa Clarita,Hill,California,California,Joseph
Female,87,1933,11,26,30,1933-11-26,Richard,Riverside,View,Utah,California,Kimberly
Male,44,1976,3,17,70,1976-3-17,Marquez,Worcester,Cedar,Massachusetts,Massachusetts,Philip
Female,42,1978,10,30,81,1978-10-30,Noel,Los Angeles,Washington,California,California,Angela
Female,19,2001,10,4,74,2001-10-4,Gamble,Houston,View,Texas,Texas,Deborah
Female,46,1974,10,22,25,1974-10-22,Potts,Aurora,Seventh,Colorado,Colorado,Angela
Female,56,1964,3,31,63,1964-3-31,Herrera,Jacksonville,Hill,Florida,Florida,Evelyn
Male,23,1997,9,23,53,1997-9-23,Moore,Spokane,Fourth,Washington,Washington,Gregory
Female,50,1970,9,30,49,1970-9-30,Daniels,Tampa,View,Florida,Florida,Samantha
Male,39,1981,9,24,37,1981-9-24,Fernandez,Newark,Third,New Jersey,New Jersey,Kenneth
Male,61,1959,5,10,100,1959-5-10,Sheppard,Alexandria,Sixth,Virginia,Virginia,Matthew
Male,83,1937,4,23,13,1937-4-23,Warren,Austin,First,Texas,Texas,Bobby
Male,45,1975,9,16,29,1975-9-16,Dickerson,Portland,Ninth,Oregon,Oregon,Daniel
Male,82,1938,1,26,81,1938-1-26,Golden,Stockton,First,California,California,Aaron
Female,58,1962,3,26,55,1962-3-26,Knapp,Shreveport,Pine,Colorado,Louisiana,Laura
Female,52,1968,2,7,57,1968-2-7,French,Oceanside,Seventh,California,California,Virginia
Female,78,1942,6,21,60,1942-6-21,Crane,Los Angeles,Third,California,California,Isabella
Female,89,1931,2,2,92,1931-2-2,Delacruz,Surprise,Oak,Arizona,Arizona,Michelle
Female,62,1958,12,14,92,1958-12-14,Workman,Seattle,Second,Washington,Washington,Theresa
Female,73,1947,7,8,83,1947-7-8,Bryant,Fort Worth,Main,Texas,Texas,Abigail
Male,90,1930,7,7,52,1930-7-7,Gibbs,Orlando,Fifth,Florida,Florida,Robert
Female,69,1951,11,8,91,1951-11-8,Kramer,Cape Coral,Eighth,Florida,Florida,Cynthia
Female,24,1996,5,15,91,1996-5-15,Ashley,Fort Lauderdale,Hill,Florida,Florida,Patricia
Male,89,1931,3,1,19,1931-3-1,Sykes,Overland Park,Eighth,Kansas,Kansas,Charles
Female,67,1953,9,14,46,1953-9-14,Conway,Chandler,Park,Arizona,Arizona,Gloria
Male,36,1984,12,24,93,1984-12-24,Murray,Frisco,Fifth,Texas,Texas,Andrew
Female,26,1994,1,14,54,1994-1-14,Boyer,Salem,Elm,Oregon,Oregon,Kathryn
Male,79,1941,11,4,28,1941-11-4,Medina,Santa Ana,Park,California,California,Kenneth
Male,33,1987,9,18,25,1987-9-18,Blevins,Pittsburgh,Fifth,Pennsylvania,Pennsylvania,Sean
Male,22,1998,5,21,25,1998-5-21,Bridges,Fort Wayne,Fourth,Indiana,Indiana,Justin
Female,41,1979,2,18,41,1979-2-18,Beasley,Peoria,Elm,Arizona,Arizona,Sharon
Female,72,1948,9,20,14,1948-9-20,Blanchard,Miramar,Washington,Florida,Florida,Sophia
Male,82,1938,1,3,82,1938-1-3,Christensen,Albuquerque,Cedar,New Mexico,New Mexico,Roy
Male,75,1945,8,26,96,1945-8-26,Sharpe,Laredo,Oak,Texas,Texas,Jesse
Male,62,1958,1,6,9,1958-1-6,Norman,Fort Wayne,Maple,Indiana,Indiana,Benjamin
Male,79,1941,5,28,73,1941-5-28,Hamilton,Joliet,Maple,Illinois,Illinois,Charles
Male,86,1934,12,29,100,1934-12-29,Deleon,Savannah,Third,Georgia,Georgia,Ethan
Female,71,1949,3,24,40,1949-3-24,Emerson,Arlington,Park,North Dakota,Texas,Shirley
Male,41,1979,1,19,96,1979-1-19,Benjamin,Corpus Christi,Seventh,Texas,Texas,Jeffrey
Male,44,1976,12,29,88,1976-12-29,Gregory,Tampa,View,Florida,Florida,Tyler
Male,63,1957,8,9,13,1957-8-9,Slater,Detroit,Fourth,Michigan,Michigan,Jose
Female,79,1941,4,2,58,1941-4-2,Rasmussen,Oxnard,Eighth,California,California,Victoria
Female,66,1954,5,9,23,1954-5-9,Sampson,Overland Park,Park,Kansas,Kansas,Betty
Female,66,1954,3,22,36,1954-3-22,Powers,Pittsburgh,Maple,Pennsylvania,Pennsylvania,Susan
Male,54,1966,2,6,1,1966-2-6,Diaz,Nashville,Cedar,Tennessee,Tennessee,Eric
Female,26,1994,12,25,88,1994-12-25,Olson,Santa Clarita,View,California,California,Natalie
Female,56,1964,9,12,15,1964-9-12,Ray,Glendale,Washington,Arizona,Arizona,Nicole
Female,67,1953,6,17,7,1953-6-17,Hess,Fort Collins,Maple,Colorado,Colorado,Janet
Female,82,1938,10,20,40,1938-10-20,Hernandez,Albuquerque,Washington,New Mexico,New Mexico,Susan
Female,88,1932,10,20,36,1932-10-20,Woodard,Yonkers,Hill,New York,New York,Jessica
Male,40,1980,4,29,89,1980-4-29,Wilson,Arlington,Second,Texas,Texas,Mark
Male,27,1993,10,8,30,1993-10-8,Shelton,San Juan,Park,Puerto Rico,Puerto Rico,Lawrence
Male,77,1943,11,11,17,1943-11-11,Mcgee,Nashville,Ninth,Tennessee,Tennessee,Nathan
Female,44,1976,8,22,22,1976-8-22,Pollard,Sioux Falls,Seventh,South Dakota,South Dakota,Carolyn
Male,57,1963,12,16,99,1963-12-16,Carver,Madison,Oak,Wisconsin,Wisconsin,Charles
Male,31,1989,6,27,10,1989-6-27,Bennett,Aurora,Washington,Colorado,Colorado,Justin
Female,28,1992,3,11,5,1992-3-11,Herrera,Oxnard,Fifth,California,California,Elizabeth
Male,24,1996,12,11,87,1996-12-11,Paul,Virginia Beach,Fourth,Virginia,Virginia,Harold
Male,50,1970,8,14,65,1970-8-14,Sampson,St. Paul,Eighth,Minnesota,Minnesota,Kenneth
Male,47,1973,7,30,77,1973-7-30,Ryan,Oklahoma City,Oak,Oklahoma,Oklahoma,Joshua
Female,64,1956,12,27,13,1956-12-27,Gill,Anchorage,Eighth,Alaska,Alaska,Pamela
Female,19,2001,3,24,20,2001-3-24,Mccray,Lincoln,Eighth,Nebraska,Nebraska,Lauren
Male,61,1959,12,9,74,1959-12-9,Gibson,Grand Rapids,Seventh,Michigan,Michigan,Brian
Female,42,1978,3,3,26,1978-3-3,Anderson,Toledo,Eighth,Ohio,Ohio,Linda
Female,54,1966,5,18,61,1966-5-18,Goff,Tucson,Eighth,Arizona,Arizona,Debra
Male,23,1997,3,14,66,1997-3-14,Quinn,Glendale,Eighth,Arizona,Arizona,Christian
Female,70,1950,4,18,64,1950-4-18,Hawkins,Arlington,Eighth,Texas,Texas,Carol
Female,71,1949,2,23,69,1949-2-23,Marquez,Olathe,Ninth,Kansas,Kansas,Angela
Female,73,1947,5,19,88,1947-5-19,Winters,Sunnyvale,Washington,California,California,Stephanie
Male,70,1950,6,29,47,1950-6-29,Vargas,Houston,Elm,Texas,Texas,Jerry
Female,70,1950,9,28,15,1950-9-28,Harding,Tempe,Oak,Arizona,Arizona,Mary
Male,54,1966,5,23,89,1966-5-23,Conway,Buffalo,Third,New York,New York,Andrew
Male,57,1963,12,4,83,1963-12-4,Wheeler,Salt Lake City,Maple,Utah,Utah,Dylan
Male,20,2000,4,21,3,2000-4-21,Terry,Enterprise,Seventh,Nevada,Nevada,Charles
Female,53,1967,7,10,69,1967-7-10,English,Chicago,Washington,Illinois,Illinois,Judith
Female,79,1941,4,14,12,1941-4-14,Bryan,Denton,Hill,Texas,Texas,Rose
Female,84,1936,5,27,20,1936-5-27,Mcguire,Bellevue,Main,Washington,Washington,Patricia
Female,61,1959,12,4,54,1959-12-4,Bauer,Atlanta,Pine,Georgia,Georgia,Isabella
Male,54,1966,1,15,49,1966-1-15,Stafford,Fort Collins,Third,Colorado,Colorado,Eugene
Male,22,1998,3,18,100,1998-3-18,Rose,Virginia Beach,Eighth,Virginia,Virginia,Kenneth
Female,56,1964,12,24,53,1964-12-24,Wilkinson,Irving,Pine,Texas,Texas,Amber
Male,48,1972,8,17,35,1972-8-17,Farley,Baltimore,Maple,Maryland,Maryland,Wayne
Female,71,1949,9,19,24,1949-9-19,Justice,Yonkers,Pine,New York,New York,Judy
Female,29,1991,3,1,61,1991-3-1,Emerson,Honolulu,Elm,Hawaii,Hawaii,Brittany
Male,67,1953,11,28,61,1953-11-28,Jensen,Fresno,Ninth,Massachusetts,California,Harold
Male,59,1961,11,28,58,1961-11-28,Stephenson,Clarksville,Hill,Tennessee,Tennessee,Paul
Male,77,1943,11,30,45,1943-11-30,Duran,Knoxville,Elm,Tennessee,Tennessee,Ralph
Female,42,1978,4,14,26,1978-4-14,Crane,Mesa,Main,Arizona,Arizona,Karen
Female,21,1999,2,13,33,1999-2-13,Farmer,Oakland,Park,California,California,Maria
Male,18,2002,11,25,67,2002-11-25,Walls,Milwaukee,Washington,Wisconsin,Wisconsin,Gerald
Female,86,1934,8,8,95,1934-8-8,Sherman,Vancouver,Fourth,Washington,Washington,Ann
Female,87,1933,4,9,37,1933-4-9,Gross,Glendale,Oak,Arizona,Arizona,Andrea
Male,50,1970,10,19,78,1970-10-19,Emerson,Raleigh,Eighth,North Carolina,North Carolina,James
Male,40,1980,3,13,76,1980-3-13,Chen,Tallahassee,First,Florida,Florida,Samuel
Female,39,1981,8,11,24,1981-8-11,Wilcox,Laredo,Seventh,Texas,Texas,Betty
Male,80,1940,6,23,22,1940-6-23,Goodwin,Rancho Cucamonga,First,California,California,Harold
Male,53,1967,10,2,86,1967-10-2,Warner,New Orleans,Sixth,Louisiana,Louisiana,Arthur
Female,33,1987,12,24,30,1987-12-24,Durham,St. Paul,Main,Minnesota,Minnesota,Angela
Female,35,1985,9,17,29,1985-9-17,Norton,Midland,Sixth,Texas,Texas,Carolyn
Female,66,1954,7,11,70,1954-7-11,Marks,Birmingham,Park,Alabama,Alabama,Nicole
Male,51,1969,1,7,40,1969-1-7,Doyle,Colorado Springs,Second,Colorado,Colorado,Richard
Female,74,1946,8,8,48,1946-8-8,Hill,Oceanside,Sixth,California,California,Ruth
Male,74,1946,6,16,64,1946-6-16,Chase,Aurora,Third,Colorado,Colorado,Christian
Male,60,1960,12,14,91,1960-12-14,Pace,Honolulu,Third,Hawaii,Hawaii,Joshua
Male,69,1951,9,9,73,1951-9-9,Steele,North Las Vegas,Third,Nevada,Nevada,Aaron
Male,87,1933,9,14,16,1933-9-14,Craig,Pembroke Pines,Seventh,Florida,Florida,Ralph
Female,75,1945,9,29,17,1945-9-29,Cantu,New York City,Sixth,New York,New York,Debra
Female,56,1964,12,20,52,1964-12-20,Barr,Rockford,Sixth,Illinois,Illinois,Grace
Male,22,1998,4,30,100,1998-4-30,Holmes,Jersey City,Main,Minnesota,New Jersey,Bryan
Male,67,1953,5,4,92,1953-5-4,Noel,Sunrise Manor,Park,Nevada,Nevada,Joshua
Male,34,1986,6,25,85,1986-6-25,Cantrell,Chula Vista,Sixth,California,California,Kenneth
Male,32,1988,11,30,43,1988-11-30,Levy,Tampa,Seventh,Florida,Florida,Larry
Male,70,1950,12,28,27,1950-12-28,Wolf,San Diego,First,Mississippi,California,Paul
Female,83,1937,2,6,85,1937-2-6,Wells,San Bernardino,Main,California,California,Judy
Male,81,1939,7,31,18,1939-7-31,Mays,Long Beach,Sixth,California,California,Roger
Male,33,1987,3,15,7,1987-3-15,Levy,Rancho Cucamonga,Lake,California,California,Jeffrey
Female,34,1986,9,21,52,1986-9-21,Maynard,Oakland,Cedar,California,California,Emma
Male,40,1980,1,4,34,1980-1-4,Grant,Thornton,Second,Colorado,Colorado,Jack
Female,38,1982,3,14,60,1982-3-14,Robinson,Waco,Cedar,Texas,Texas,Mary
Male,59,1961,8,12,26,1961-8-12,Acosta,Alexandria,Fourth,Virginia,Virginia,Kevin
Male,59,1961,12,23,29,1961-12-23,Maxwell,Fontana,Seventh,California,California,Randy
Female,55,1965,3,25,23,1965-3-25,Wise,Lancaster,View,California,California,Mary
Male,80,1940,8,27,58,1940-8-27,Holt,Hollywood,Ninth,Florida,Florida,George
Male,56,1964,1,6,63,1964-1-6,Hampton,Spring Valley,Elm,Nevada,Nevada,Willie
Male,28,1992,2,3,72,1992-2-3,Goodwin,Plano,First,Texas,Texas,Christian
Male,66,1954,10,12,93,1954-10-12,Wise,Aurora,First,Colorado,Colorado,Douglas
Male,30,1990,3,18,85,1990-3-18,Schmidt,Tallahassee,Fifth,Florida,Florida,Steven
Male,76,1944,8,18,87,1944-8-18,Banks,Paterson,Second,New Jersey,New Jersey,Ralph
Female,65,1955,4,7,27,1955-4-7,Mueller,Ontario,Pine,California,California,Patricia
Male,28,1992,11,25,77,1992-11-25,Pollard,Salinas,Pine,California,California,Zachary
Male,88,1932,11,23,46,1932-11-23,Franklin,Houston,Seventh,Texas,Texas,Daniel
Female,53,1967,7,15,52,1967-7-15,Snow,Colorado Springs,Hill,Colorado,Colorado,Catherine
Female,69,1951,10,3,99,1951-10-3,Farrell,Alexandria,Eighth,Virginia,Virginia,Carolyn
Male,49,1971,6,6,33,1971-6-6,Shannon,Modesto,View,California,California,Nicholas
Female,66,1954,7,28,7,1954-7-28,Garrison,Philadelphia,Fourth,Pennsylvania,Pennsylvania,Lisa
Female,72,1948,3,29,15,1948-3-29,Weiss,Bridgeport,Fourth,Connecticut,Connecticut,Diane
Male,39,1981,7,1,68,1981-7-1,Kinney,Grand Rapids,Lake,Michigan,Michigan,Donald
Male,29,1991,4,1,40,1991-4-1,Madden,Little Rock,Second,Arkansas,Arkansas,Zachary
Female,75,1945,7,2,70,1945-7-2,Vega,Glendale,Maple,Arizona,Arizona,Sandra
Female,33,1987,7,2,36,1987-7-2,Garner,Durham,Fourth,North Carolina,North Carolina,Melissa
Male,48,1972,1,6,60,1972-1-6,Evans,San Antonio,Park,Texas,Texas,Terry
Male,87,1933,7,17,2,1933-7-17,Flores,Tampa,Seventh,Florida,Florida,Richard
Male,90,1930,7,3,58,1930-7-3,Blair,Murfreesboro,Lake,Tennessee,Tennessee,Kevin
Female,74,1946,4,18,53,1946-4-18,Nielsen,Honolulu,Park,Hawaii,Hawaii,Laura
Female,32,1988,6,10,13,1988-6-10,Alston,Providence,Hill,Rhode Island,Rhode Island,Lauren
Male,32,1988,10,21,9,1988-10-21,Contreras,Roseville,Main,California,California,Adam
Male,52,1968,11,13,27,1968-11-13,Montgomery,Alexandria,Hill,Virginia,Virginia,Larry
Male,75,1945,3,7,58,1945-3-7,Bartlett,Thornton,Cedar,Colorado,Colorado,Zachary
Female,64,1956,12,11,75,1956-12-11,Simmons,Sacramento,Main,California,California,Marie
Female,41,1979,11,19,7,1979-11-19,Diaz,Enterprise,Oak,Nevada,Nevada,Sophia
Female,57,1963,3,26,76,1963-3-26,Glenn,Lubbock,First,Texas,Texas,Joyce
Male,88,1932,1,11,27,1932-1-11,Malone,Aurora,Ninth,Colorado,Colorado,Brian
Female,47,1973,10,14,91,1973-10-14,Bennett,Winston-Salem,Fifth,North Carolina,North Carolina,Ashley
Female,25,1995,4,4,75,1995-4-4,Shannon,Olathe,View,Kansas,Kansas,Debra
Female,53,1967,5,9,57,1967-5-9,Church,Metairie,First,Louisiana,Louisiana,Amber
Male,27,1993,8,22,14,1993-8-22,Carter,Montgomery,Elm,Alabama,Alabama,Sean
Female,82,1938,11,6,63,1938-11-6,Fulton,Grand Rapids,View,Michigan,Michigan,Barbara
Male,81,1939,11,14,31,1939-11-14,Bennett,Baltimore,Fourth,Maryland,Maryland,Joe
Male,28,1992,4,13,40,1992-4-13,Pugh,Seattle,Ninth,Washington,Washington,Richard
Female,77,1943,11,9,3,1943-11-9,Hines,Honolulu,Eighth,Hawaii,Hawaii,Jacqueline
Female,21,1999,6,12,62,1999-6-12,Battle,Las Vegas,Main,Nevada,Nevada,Frances
Male,39,1981,10,28,88,1981-10-28,Hobbs,Midland,Seventh,Texas,Texas,Roy
Female,83,1937,1,9,9,1937-1-9,Stokes,Anchorage,Eighth,Alaska,Alaska,Rebecca
Male,33,1987,10,13,14,1987-10-13,Rodgers,Huntsville,Main,Alabama,Alabama,Noah
Male,33,1987,1,12,84,1987-1-12,Houston,St. Louis,Fifth,Missouri,Missouri,Ryan
Male,39,1981,11,14,33,1981-11-14,Burgess,Arlington,Second,Texas,Texas,George
Male,23,1997,8,29,69,1997-8-29,Fisher,Akron,Seventh,Ohio,Ohio,Sean
Male,19,2001,11,7,79,2001-11-7,Kramer,Hollywood,First,Florida,Florida,Bryan
Male,86,1934,9,8,61,1934-9-8,Ball,Sunnyvale,Third,California,California,Juan
Male,56,1964,5,21,12,1964-5-21,Snyder,Milwaukee,Main,Wisconsin,Wisconsin,Jack
Male,82,1938,1,31,51,1938-1-31,Oneal,Mesa,Seventh,Arizona,Arizona,Bryan
Female,56,1964,11,15,90,1964-11-15,Montoya,Wichita,Ninth,Kansas,Kansas,Rose
Female,71,1949,10,10,3,1949-10-10,Sanford,Lubbock,Eighth,Texas,Texas,Danielle
Female,83,1937,5,7,56,1937-5-7,Blackburn,Spring Valley,Lake,Nevada,Nevada,Jessica
Female,72,1948,9,27,58,1948-9-27,Rhodes,Hayward,Oak,California,California,Michelle
Male,78,1942,7,10,49,1942-7-10,Craig,Metairie,Maple,Louisiana,Louisiana,Daniel
Male,81,1939,12,25,29,1939-12-25,Blankenship,North Las Vegas,Washington,Nevada,Nevada,Robert
Female,78,1942,8,30,60,1942-8-30,Chen,El Paso,Sixth,Texas,Texas,Rachel
Female,67,1953,3,11,95,1953-3-11,Conley,Cary,Hill,North Carolina,North Carolina,Virginia
Male,59,1961,3,21,82,1961-3-21,Kane,Fort Worth,Eighth,Texas,Texas,Kyle
Female,79,1941,12,20,98,1941-12-20,Ramos,Birmingham,Oak,Alabama,Alabama,Sara
Female,48,1972,12,14,25,1972-12-14,Rowe,Bayamon,First,Puerto Rico,Puerto Rico,Pamela
Female,40,1980,2,18,90,1980-2-18,Rosa,Los Angeles,Oak,California,California,Charlotte
Male,29,1991,4,18,10,1991-4-18,David,Sioux Falls,Hill,South Dakota,South Dakota,Matthew
Male,52,1968,7,29,59,1968-7-29,Evans,Surprise,Washington,Arizona,Arizona,Douglas
Female,24,1996,2,2,75,1996-2-2,Curtis,Mobile,Second,Alabama,Alabama,Megan
Male,38,1982,9,10,6,1982-9-10,Livingston,Lancaster,View,California,California,Peter
Female,71,1949,10,23,90,1949-10-23,Shaffer,Grand Rapids,View,Michigan,Michigan,Alice
Female,37,1983,7,16,77,1983-7-16,Mcguire,Norfolk,Seventh,Virginia,Virginia,Danielle
